roadNo	roadId	startChainage	endChainage	width	nrLanes
Z3701	913	0	1.26	6.6	2
Z3701	913	1.26	2.7	5.55	2
Z3701	913	2.7	3.2	5.5	2
Z3701	913	3.2	5.4	5.52	2
Z3701	913	5.4	7.9	5.5	2
Z3701	913	7.9	10.25	5.58	2
Z3701	913	10.25	12.24	5.58	2
Z3701	913	12.24	15.75	5.59	2
Z3701	913	15.75	17.24	5.7	2
Z3701	913	17.24	20.1	5.6	2
Z3701	913	20.1	22.4	5.55	2
Z3701	913	22.4	24.1	5.54	2
Z3701	913	24.1	26.2	5.5	2
Z3701	913	26.2	28.1	5.52	2
Z3701	913	28.1	30.2	5.52	2
Z3701	913	30.2	31.3	4.3	1.5
Z3701	913	31.3	34.54	3.1	1
Z3701	913	34.913	35.814	2.45	1
Z3701	913	35.913	44.213	2.45	1
Z3701	913	44.613	50.963	2.45	1
Z3701	913	51.293	54.995	2.45	1
