roadNo	roadId	startChainage	endChainage	width	nrLanes
Z8037	1144	0	0.06	18.1	4
Z8037	1144	0.06	0.1	9.45	3
Z8037	1144	0.1	0.5	8.4	2
Z8037	1144	0.5	1	6.6	2
Z8037	1144	1	4.082	6	2
Z8037	1144	4.082	5.124	3.66	1
Z8037	1144	5.124	6.924	3.66	1
Z8037	1144	6.924	8.424	3.66	1
Z8037	1144	8.424	10.322	3.66	1
Z8037	1144	10.322	18.416	3.66	1
Z8037	1144	18.416	18.616	5.5	2
Z8037	1144	18.616	19.216	3.66	1
Z8037	1144	19.216	20.716	5.5	2
Z8037	1144	20.716	20.966	4.7	1.5
Z8037	1144	20.966	27.716	3.66	1
Z8037	1144	27.716	27.986	3.66	1
Z8037	1144	27.986	28.416	3.6	1
Z8037	1144	28.416	28.43	4.05	1.5
