road	Z2063
name	Rupganj-Beraid-Badda Road
length	4
from	Rupganj
to	Badda
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1678
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1678&RoadNo=Z2063
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1678&RoadNo=Z2063
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1678&RoadNo=Z2063
