road	R802
name	Majina-Kayetpara-Trimohini Link Road
length	8
from	Majina
to	Trimohini
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=891
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=891&RoadNo=R802
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=891&RoadNo=R802
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=891&RoadNo=R802
