roadNo	roadId	startChainage	endChainage	width	nrLanes
R870	1586	0	0.25	6.8	2
R870	1586	0.25	0.8	5.5	2
R870	1586	0.8	2.629	5.5	2
R870	1586	2.629	2.879	7.3	2
R870	1586	2.879	6.819	5.5	2
R870	1586	6.819	6.979	6	2
R870	1586	6.979	7.719	5.5	2
R870	1586	7.719	9.477	5.5	2
R870	1586	9.477	9.707	5.5	2
R870	1586	9.707	11.177	5.5	2
R870	1586	11.177	11.517	5.5	2
R870	1586	11.517	12.412	5.5	2
R870	1586	12.412	12.542	5.5	2
R870	1586	12.542	14.112	5.5	2
R870	1586	14.112	14.572	7.3	2
R870	1586	14.572	15.192	5.5	2
R870	1586	15.192	18.628	5.5	2
R870	1586	18.628	18.778	6.5	2
R870	1586	18.778	19.628	5.5	2
R870	1586	19.628	20.728	7.3	2
R870	1586	20.728	24.638	5.5	2
R870	1586	24.638	27.668	5.5	2
R870	1586	27.668	27.818	6	2
R870	1586	27.818	37.628	5.5	2
R870	1586	37.628	39.318	3.7	1
R870	1586	39.318	41.514	3.7	1
R870	1586	41.514	42.634	3.7	1
R870	1586	42.634	42.684	5.5	2
R870	1586	42.684	43.484	8.5	2
R870	1586	43.484	44.817	5.5	2
R870	1586	44.817	52.068	5.5	2
R870	1586	53.268	64.252	5.5	2
