road	Z7552
name	Keshabpur- Sharaskhati -Kalaroa Road
length	20
from	Keshabpur
to	Kalaroa
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=886
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=886&RoadNo=Z7552
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=886&RoadNo=Z7552
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=886&RoadNo=Z7552
