roadNo	roadId	startChainage	endChainage	width	nrLanes
R162	1395	0	0.99	5.56	2
R162	1395	0.99	2.3	3.61	1
R162	1395	2.3	3	3.68	1
R162	1395	3	3.3	3.69	1
R162	1395	3.3	5.585	3.7	1
R162	1395	5.585	6.225	3.71	1
R162	1395	6.225	7.35	3.71	1
R162	1395	7.35	7.8	3.6	1
R162	1395	7.8	8.76	3.71	1
R162	1395	8.76	9.2	3.72	1
R162	1395	9.2	13.88	3.7	1
R162	1395	13.88	15.88	3.72	1
R162	1395	15.88	17.5	3.71	1
R162	1395	17.5	23.4	3.69	1
R162	1395	23.4	23.6	3.71	1
R162	1395	23.6	26.4	3.75	1
R162	1395	26.4	26.87	3.72	1
R162	1395	26.87	27.1	3.71	1
R162	1395	27.1	29.95	3.72	1
R162	1395	29.95	31.5	3.74	1
R162	1395	31.5	33	3.74	1
R162	1395	33	34.6	3.72	1
R162	1395	34.6	35.3	3.72	1
R162	1395	35.3	37.8	3.72	1
R162	1395	37.8	38.2	3.72	1
R162	1395	38.2	43.2	3.71	1
R162	1395	43.2	46.5	3.71	1
R162	1395	46.5	50.4	5.61	2
R162	1395	50.4	54.4	5.62	2
R162	1395	54.4	58.5	5.62	2
R162	1395	58.5	61.505	5.62	2
