road	R558
name	Maheshpur at R556 to Barapukuria Road
length	5
from	Maheshpur at R556
to	Barapukuria
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1543
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1543&RoadNo=R558
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1543&RoadNo=R558
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1543&RoadNo=R558
