roadNo	roadId	startChainage	endChainage	width	nrLanes
Z3033	1595	0	0.009	6.5	2
Z3033	1595	0.009	0.909	9.1	3
Z3033	1595	0.909	4.509	5.44	1.5
Z3033	1595	4.509	7.009	3.66	1
Z3033	1595	7.009	9.109	3.68	1
Z3033	1595	9.109	12.909	3.66	1
Z3033	1595	12.909	15.909	3.66	1
Z3033	1595	15.909	20.009	3.7	1
Z3033	1595	20.009	26.209	3.68	1
Z3033	1595	26.209	30.009	3.64	1
Z3033	1595	30.009	36.009	3.66	1
Z3033	1595	36.009	40.209	5.4	1.5
Z3033	1595	40.209	41.789	3.65	1
Z3033	1595	41.789	42.499	5.46	1.5
Z3033	1595	42.499	45.059	3.62	1
Z3033	1595	45.059	45.399	5.64	2
Z3033	1595	45.399	46.929	3.65	1
Z3033	1595	46.929	47.279	5.66	2
Z3033	1595	47.279	50.079	3.68	1
Z3033	1595	50.079	54.109	3.66	1
Z3033	1595	54.109	55.763	3.6	1
Z3033	1595	55.763	56.233	3.6	1
Z3033	1595	56.233	58.839	3.67	1
Z3033	1595	58.839	61.109	3.64	1
Z3033	1595	61.109	64.209	3.66	1
Z3033	1595	64.209	66.409	3.7	1
Z3033	1595	66.409	66.499	5.4	1.5
Z3033	1595	66.499	66.557	5.6	2
