roadNo	roadId	startChainage	endChainage	width	nrLanes
Z1031	940	0	0.26	4.3	1.5
Z1031	940	0.26	1.38	5.2	1.5
Z1031	940	1.38	1.405	7.5	2
Z1031	940	1.405	1.585	6.4	2
Z1031	940	1.585	5.459	5.5	2
Z1031	940	5.459	5.682	7.8	2
Z1031	940	5.682	6.052	11.8	3
Z1031	940	6.052	6.595	7.5	2
Z1031	940	6.595	6.875	16	4
Z1031	940	6.875	7.075	16	4
Z1031	940	7.075	7.275	14.6	4
Z1031	940	7.275	7.755	9	3
Z1031	940	7.755	7.975	15.6	4
Z1031	940	7.975	9.482	14.4	4
Z1031	940	9.482	9.988	12	3
Z1031	940	9.988	10.288	7.5	2
Z1031	940	10.288	14.648	6.2	2
Z1031	940	14.648	20.323	5.6	2
Z1031	940	20.323	20.743	7.4	2
Z1031	940	20.743	21.123	5.6	2
Z1031	940	21.123	21.243	5.3	1.5
Z1031	940	21.243	30.367	5.6	2
Z1031	940	30.367	31.755	6.8	2
Z1031	940	31.755	33.01	5.8	2
Z1031	940	33.01	35.935	5.3	1.5
