road	Z3038
name	Town Hall-Ganginarpar-Relir more Road
length	2
from	Town Hall
to	Ganhinarpar
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1658
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1658&RoadNo=Z3038
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1658&RoadNo=Z3038
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1658&RoadNo=Z3038
