roadNo	roadId	startChainage	endChainage	width	nrLanes
Z1042	1594	0	0.1	13	4
Z1042	1594	0.1	21.19	5.5	2
Z1042	1594	21.19	23.21	3.65	1
Z1042	1594	23.21	23.715	5.52	2
Z1042	1594	23.715	23.965	3.7	1
Z1042	1594	23.965	30.315	5.8	2
Z1042	1594	30.315	30.365	3.7	1
Z1042	1594	30.365	34.365	5.5	2
Z1042	1594	34.365	34.665	4.6	1.5
Z1042	1594	34.665	36.445	5.5	2
Z1042	1594	36.445	36.535	6.2	2
Z1042	1594	36.535	36.985	3.7	1
Z1042	1594	36.985	37.925	6.2	2
Z1042	1594	37.925	39.565	3.7	1
Z1042	1594	39.565	40.115	3.7	1
Z1042	1594	40.115	43.405	3.65	1
Z1042	1594	43.405	43.605	3.65	1
Z1042	1594	43.605	45.365	3.65	1
Z1042	1594	45.365	46.365	3.8	1
Z1042	1594	46.365	48.195	3.65	1
