road	R814
name	R812 to Muktarpur Ferryghat Link Road
length	2
from	Int with R812, Dhaka end
to	Intersection with R812, Munshiganj End
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1742
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1742&RoadNo=R814
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1742&RoadNo=R814
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1742&RoadNo=R814
