road	Z8419
name	Satpar-Ramdia-Fukurah Road
length	23
from	Satpar
to	Fukurah
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1501
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1501&RoadNo=Z8419
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1501&RoadNo=Z8419
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1501&RoadNo=Z8419
