road	R147
name	Lakshmipur Town Bridge-Tero Baki Road
length	2
from	Lakshmipur Town Bridge (Godaun Bazar)
to	Tero Baki
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=893
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=893&RoadNo=R147
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=893&RoadNo=R147
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=893&RoadNo=R147
