road	R748
name	Chuadanga-Darsana-Jibannagar-Kotchchandpur-Kaliganj Road
length	66
from	Chuadanga
to	Kaliganj
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1507
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1507&RoadNo=R748
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1507&RoadNo=R748
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1507&RoadNo=R748
