road	Z2812
name	Beanibazar (Bairagirbazar)-Kurerbazar-Budbaribazar-Badepasha Union-Golapganj (Sharifganj)-Fenchuganj Road
length	52
from	Bairagirbazar
to	Sharifganj
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1284
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1284&RoadNo=Z2812
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1284&RoadNo=Z2812
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1284&RoadNo=Z2812
