road	R249
name	Chowhatta - Kumarpara-Naiorpul Road
length	2
from	Chowhattaa
to	Naiorpul
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1444
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1444&RoadNo=R249
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1444&RoadNo=R249
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1444&RoadNo=R249
