road	R146
name	Wireless More (Intersection with R140)-Illisha Chattar Road
length	2
from	Wireless More (Intersection with R140)
to	Illisha Chattar (Chandpur Town)
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1791
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1791&RoadNo=R146
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1791&RoadNo=R146
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1791&RoadNo=R146
