roadNo	roadId	startChainage	endChainage	width	nrLanes
Z1422	1469	0	0.016	30	4
Z1422	1469	0.016	0.046	13	4
Z1422	1469	0.046	0.306	5.5	2
Z1422	1469	0.306	0.816	5.5	2
Z1422	1469	0.816	6.19	5.5	2
Z1422	1469	6.19	6.32	7.32	2
Z1422	1469	6.32	12.02	5.5	2
Z1422	1469	12.02	12.17	7.32	2
Z1422	1469	12.17	15.886	5.5	2
Z1422	1469	15.886	16.216	5.5	2
Z1422	1469	16.216	16.606	7.32	2
Z1422	1469	16.606	16.966	6.2	2
Z1422	1469	16.966	17.506	4.9	1.5
Z1422	1469	17.506	18.91	5.5	2
Z1422	1469	18.91	20.97	7.5	2
Z1422	1469	20.97	25.33	5.5	2
Z1422	1469	25.33	25.46	6.3	2
Z1422	1469	25.46	25.48	5.5	2
Z1422	1469	25.48	25.6	6.4	2
Z1422	1469	25.6	32.69	5.5	2
Z1422	1469	32.69	33.03	4.1	1.5
Z1422	1469	33.03	33.56	5.5	2
Z1422	1469	33.56	34.16	5	1.5
Z1422	1469	34.16	35.62	5.3	1.5
Z1422	1469	35.62	36.37	3.6	1
Z1422	1469	36.37	37.37	4.1	1.5
Z1422	1469	37.37	37.42	4.1	1.5
