road	R161
name	Rangamati (Ghagra)-Chandragona-Bangalhalia-Bandarban Road
length	61
from	Ghagra
to	Bandarban
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1397
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1397&RoadNo=R161
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1397&RoadNo=R161
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1397&RoadNo=R161
