roadNo	roadId	startChainage	endChainage	width	nrLanes
R140	1466	0	0.65	7	2
R140	1466	0.65	0.9	8.5	2
R140	1466	0.9	2.06	7.7	2
R140	1466	2.06	4.25	7.5	2
R140	1466	4.25	4.94	10.5	3
R140	1466	4.94	6.1	6	2
R140	1466	6.1	7.5	6	2
R140	1466	7.5	9.25	6.1	2
R140	1466	9.25	9.5	9.4	3
R140	1466	9.5	12.4	6	2
R140	1466	12.4	14	6.1	2
R140	1466	14	16	6	2
R140	1466	16	18.2	5.9	2
R140	1466	18.2	19.5	5.9	2
R140	1466	19.5	22.2	5.9	2
R140	1466	22.2	25	6	2
R140	1466	25	29.3	5.9	2
R140	1466	29.3	32.4	6.1	2
R140	1466	32.4	35.3	6.1	2
R140	1466	35.3	37.2	5.7	2
R140	1466	37.2	41.5	5.6	2
R140	1466	41.5	44.4	5.3	1.5
R140	1466	44.4	47.37	5.4	1.5
R140	1466	47.37	47.72	9	3
R140	1466	47.72	50.1	5.6	2
R140	1466	50.1	54.3	5.4	1.5
R140	1466	54.3	57.5	5.4	1.5
R140	1466	57.5	61.3	5.5	2
R140	1466	61.3	65.4	5.6	2
R140	1466	65.4	68.5	5.6	2
R140	1466	68.5	73.2	5.6	2
R140	1466	73.2	76.5	5.6	2
R140	1466	76.5	82.4	5.5	2
R140	1466	82.4	86.7	5.4	1.5
R140	1466	86.7	90.2	5.4	1.5
R140	1466	90.2	93.86	5.4	1.5
R140	1466	93.86	94.32	7.4	2
R140	1466	94.32	96.44	5.6	2
R140	1466	96.44	99.14	5.6	2
R140	1466	99.14	103	5.6	2
R140	1466	103	106.4	5.6	2
R140	1466	106.4	107.4	5.6	2
R140	1466	107.4	108.9	6.3	2
R140	1466	108.9	111.5	6.2	2
R140	1466	111.5	113.7	7.3	2
R140	1466	113.7	116.6	6	2
R140	1466	116.6	118	6	2
R140	1466	118	122.4	6	2
R140	1466	122.4	122.65	6	2
R140	1466	122.65	123.4	7	2
R140	1466	123.4	126.5	6	2
R140	1466	126.5	126.8	6	2
R140	1466	126.8	128	6	2
R140	1466	128	131.1	6	2
R140	1466	131.1	131.4	6	2
R140	1466	131.4	136.5	6	2
R140	1466	136.5	138.63	8.2	2
