road	Z3024
name	Master Bari-Mirzapur-Pirujali-Nuhashpalli-Mawna Road
length	25
from	Masterbari
to	Mawna
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=965
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=965&RoadNo=Z3024
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=965&RoadNo=Z3024
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=965&RoadNo=Z3024
