road	R317
name	Toke Bazar-Banar Toke Ferry Ghat
length	1
from	Toke Bazar
to	Banar Toke Ferry Ghat
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1749
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1749&RoadNo=R317
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1749&RoadNo=R317
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1749&RoadNo=R317
