road	R870
name	Barisal-Jhalokati-Rajapur-Bhandaria-Pirojpur Road
length	64
from	Barisal (Rupatali Bus Stand)
to	Pirojpur (Thana More)
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1586
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1586&RoadNo=R870
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1586&RoadNo=R870
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1586&RoadNo=R870
