road	Z6817
name	Nachol-Gomastapur (Rohonpur) Road
length	16
from	Nachol
to	Rohonpur
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1080
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1080&RoadNo=Z6817
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1080&RoadNo=Z6817
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1080&RoadNo=Z6817
