road	R820
name	Zinzira-Keraniganj-Nawabganj-Dohar-Srinagar Road
length	72
from	Zinzira
to	Srinagar
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1476
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1476&RoadNo=R820
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1476&RoadNo=R820
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1476&RoadNo=R820
