road	R203
name	Bhulta-Araihazar-Bancharampur-Nabinagar-Shibpur-Radhika Road
length	76
from	Bhulta
to	Radhika
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1491
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1491&RoadNo=R203
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1491&RoadNo=R203
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1491&RoadNo=R203
