road	Z7619
name	Modhanpur College More-Trimohoni Bazar Road
length	25
from	Modhanpur College More
to	Trimohoni Bazar
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1358
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1358&RoadNo=Z7619
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1358&RoadNo=Z7619
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1358&RoadNo=Z7619
