road	Z8709
name	Satpakhia (Barishal-Jhalokati Highway)-Nalcity Road
length	3
from	Satpakhia
to	Nalcity
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=917
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=917&RoadNo=Z8709
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=917&RoadNo=Z8709
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=917&RoadNo=Z8709
