road	R605
name	Sujangar-Lalan Shah Bridge Approach Road
length	43
from	Sujangar
to	Lalan Shah Bridge Approch
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1714
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1714&RoadNo=R605
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1714&RoadNo=R605
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1714&RoadNo=R605
