road	Z7718
name	Kachua (Pingoria)-Talighati-Herma-Rampal Road
length	42
from	Pingoria
to	Rampal
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1591
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1591&RoadNo=Z7718
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1591&RoadNo=Z7718
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1591&RoadNo=Z7718
