road	R760
name	Khulna-Chuknagar-Satkhira Road
length	58
from	Khulna (Power House More)
to	Satkhira (Laboni More)
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1158
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1158&RoadNo=R760
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1158&RoadNo=R760
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1158&RoadNo=R760
