road	R861
name	Monohar Bazar More -Shariatpur(Premtola) Road
length	7
from	Monohar Bazar More
to	Shariatpur(Premtola)
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=892
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=892&RoadNo=R861
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=892&RoadNo=R861
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=892&RoadNo=R861
