road	R311
name	Joydebpur (BARI More)-Ordinance Factory (Shahid Zaman Road)
length	5
from	Joydebpur (BARI More)
to	Ordinance Factory
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1581
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1581&RoadNo=R311
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1581&RoadNo=R311
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1581&RoadNo=R311
