road	Z1623
name	Raozan (29th km of N106)-Brahmanchhari Road (Shahid Jafar Road)
length	10
from	Raozan
to	Brammanchhari
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1471
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1471&RoadNo=Z1623
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1471&RoadNo=Z1623
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1471&RoadNo=Z1623
