road	R251
name	Golapganj-Dhaka Dakhin-Baraigram-Vadeswar Road
length	14
from	Golapganj
to	Vadeswar
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1398
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1398&RoadNo=R251
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1398&RoadNo=R251
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1398&RoadNo=R251
