road	R602
name	Nazirganj at R601 to Nazirganj Ferry Ghat Road
length	1
from	Nazirganj at R601
to	Nazirganj Ferry Ghat
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1497
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1497&RoadNo=R602
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1497&RoadNo=R602
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1497&RoadNo=R602
