roadNo	roadId	startChainage	endChainage	width	nrLanes
Z7619	1358	0	0.05	6.5	2
Z7619	1358	0.05	4.64	3.65	1
Z7619	1358	4.64	5.92	5.5	2
Z7619	1358	5.92	6.54	3.7	1
Z7619	1358	6.54	6.63	5.5	2
Z7619	1358	6.63	9.1	3.7	1
Z7619	1358	9.1	9.22	5.5	2
Z7619	1358	9.22	9.66	5.5	2
Z7619	1358	9.66	9.712	3.7	1
Z7619	1358	9.712	11.44	3.7	1
Z7619	1358	11.44	11.69	5.5	2
Z7619	1358	11.69	12.15	3.7	1
Z7619	1358	12.15	12.28	3	1
Z7619	1358	12.28	15.678	3.7	1
Z7619	1358	15.678	16.675	3.7	1
Z7619	1358	16.675	16.676	3.05	1
Z7619	1358	16.676	22.046	3.7	1
Z7619	1358	22.046	22.3	5.5	2
Z7619	1358	22.3	24.3	3.7	1
Z7619	1358	24.3	24.8	3.05	1
Z7619	1358	24.8	24.87	3.05	1
