roadNo	roadId	startChainage	endChainage	width	nrLanes
Z5025	1036	0	0.025	13	4
Z5025	1036	0.025	0.16	7.4	2
Z5025	1036	0.16	3.287	7.4	2
Z5025	1036	3.287	3.74	5.5	2
Z5025	1036	3.74	5.24	7.2	2
Z5025	1036	5.24	6.8	5.5	2
Z5025	1036	6.8	7.14	7.2	2
Z5025	1036	7.14	8.49	5.5	2
Z5025	1036	8.49	8.89	5.3	1.5
Z5025	1036	8.89	9.67	7.5	2
Z5025	1036	9.67	13.356	5.5	2
Z5025	1036	13.356	13.706	7.2	2
Z5025	1036	13.706	15.086	5.5	2
Z5025	1036	15.086	15.336	7.2	2
Z5025	1036	15.336	17.976	5.5	2
Z5025	1036	17.976	19.126	7.2	2
Z5025	1036	19.126	19.986	5.5	2
Z5025	1036	19.986	20.786	7.2	2
Z5025	1036	20.786	21.776	5.5	2
Z5025	1036	21.776	23.156	7.2	2
Z5025	1036	23.156	24.936	6.8	2
Z5025	1036	24.936	28.446	5.5	2
Z5025	1036	28.446	29.166	6.8	2
Z5025	1036	29.166	30.186	5.5	2
Z5025	1036	30.186	30.246	8	2
Z5025	1036	30.246	37.426	5.5	2
Z5025	1036	37.426	37.566	12.5	4
Z5025	1036	37.566	38.326	5.5	2
Z5025	1036	38.326	38.776	3.7	1
Z5025	1036	38.776	39.976	5.5	2
Z5025	1036	39.976	41.276	3.8	1
Z5025	1036	41.276	41.706	5.5	2
Z5025	1036	41.706	44.676	4	1.5
Z5025	1036	44.676	44.946	5.5	2
Z5025	1036	44.946	63.206	5.4	1.5
Z5025	1036	63.206	63.376	5.6	2
Z5025	1036	63.376	63.756	4	1.5
Z5025	1036	63.756	64.026	5.6	2
Z5025	1036	64.026	64.396	4	1.5
Z5025	1036	64.396	66.076	5.6	2
Z5025	1036	66.076	66.126	17.9	4
