road	R745
name	Kushtia (Trimohoni)-Maherpur-Chuadanga-Jhenaidah Road
length	117
from	Kushtia (Trimohoni)
to	Jhenaidah
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1509
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1509&RoadNo=R745
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1509&RoadNo=R745
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1509&RoadNo=R745
