road	Z5021
name	Panchagarh Sugarmill-Benghari-Maria-Saldanga-Debiganj Road
length	32
from	Panchagarh Sugarmill
to	Debiganj Bridge Approach
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1185
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1185&RoadNo=Z5021
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1185&RoadNo=Z5021
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1185&RoadNo=Z5021
