road	Z3010
name	Kaliganj-Tumulia-Ulukhola Road
length	8
from	Kaliganj
to	Ulukhola
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1062
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1062&RoadNo=Z3010
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1062&RoadNo=Z3010
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1062&RoadNo=Z3010
