road	Z5070
name	Gabtali Swarighat (Babu Bazar Bridge) Road
length	12
from	Gabtali (Intersection with N5)
to	Kadamtali, Swarighat (Babu Bazar Bridge)
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1203
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1203&RoadNo=Z5070
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1203&RoadNo=Z5070
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1203&RoadNo=Z5070
